,retweet_count,text,created,followers_count,verified,statuses_count,user_age,rumour
0,710,Video shows police surrounding Paris kosher supermarket where gunman reportedly holding hostages http://t.co/Qv1xBajqsX #CharlieHebdo,Fri Jan 09 13:16:57 +0000 2015,12933705,True,22815,Sun Apr 22 14:42:37 +0000 2007,non_rumour
1,417,French Justice Minister C.Taubira reacts outside of the headquarters of the satirical newspaper #CharlieHebdo #AFP http://t.co/CwvowQMR12,Wed Jan 07 13:47:53 +0000 2015,36137,False,4628,Mon Oct 08 14:43:38 +0000 2012,non_rumour
2,103,"If you kill men for making fun of your ideas, you need to rethink your ideas. #JeSuisCharlie",Wed Jan 07 12:47:12 +0000 2015,453,False,13825,Wed Jun 24 05:08:56 +0000 2009,non_rumour
3,319,French media calling #CharlieHebdo attack the worst attack in France in decades http://t.co/K7ZHV9C27F http://t.co/jju1vgQiii,Wed Jan 07 13:22:59 +0000 2015,973003,True,124056,Sun Oct 26 00:00:29 +0000 2008,non_rumour
4,157,"Israeli SWAT team unit specializing in hostage situations on standby, ready to travel to Paris to assist French http://t.co/PBs3sMwhLt",Fri Jan 09 15:15:10 +0000 2015,193927,True,63586,Sun Mar 15 09:43:07 +0000 2009,non_rumour
5,142,"THE UTTER HYPOCRISY

#JeSuisCharlie http://t.co/pZ86pz93C1",Fri Jan 09 11:31:14 +0000 2015,150967,True,106599,Sat Mar 19 16:40:35 +0000 2011,non_rumour
6,102,"#CharlieHebdo’s Charb: ""I would rather die standing up than live on my knees” http://t.co/RYrHlAVy7t http://t.co/cxsHfJVlrn /ht @froomkin",Wed Jan 07 14:18:25 +0000 2015,22572,False,55260,Sat Sep 26 17:37:32 +0000 2009,non_rumour
7,791,"#JeSuisCharlie  Hey folks, enter for free paypal sums !
http://t.co/lIlT8irzFy",Thu Jan 08 16:47:48 +0000 2015,20,False,395,Mon Sep 22 19:12:57 +0000 2014,non_rumour
8,118,Hero police officer executed in street was 42-year-old married Muslim Ahmed Merabet http://t.co/gL5epqmdpu #CharlieHebdo,Thu Jan 08 09:50:07 +0000 2015,818286,True,125631,Tue Jul 15 10:17:46 +0000 2008,non_rumour
9,130,"""But who wants the English in Europe?"" Quite enjoying some of these #CharlieHebdo covers: https://t.co/p0QS7l0q1H http://t.co/GmzJnnhwc3",Wed Jan 07 14:42:00 +0000 2015,7105,False,11087,Thu Sep 17 17:06:55 +0000 2009,non_rumour
10,253,"Breaking News: Paris Police Respond to Report of Second Hostage-Taking
http://t.co/U8BE162qls",Fri Jan 09 13:12:22 +0000 2015,14704940,True,163225,Fri Mar 02 20:41:42 +0000 2007,non_rumour
11,525,12 shocking #CharlieHebdo covers from Muhammad to Michael Jackson http://t.co/sT93i3WTWi http://t.co/flEmCiRds2,Wed Jan 07 13:47:51 +0000 2015,744690,True,113051,Wed Aug 27 15:24:02 +0000 2008,non_rumour
12,10089,"""this is not a religion""  #IamCharlie #CharlieHebdo http://t.co/d2cWyrDPSC",Wed Jan 07 15:25:23 +0000 2015,1142,False,813,Thu Dec 17 06:37:02 +0000 2009,non_rumour
13,163,"Details of attacks on Muslim community in France, grenades, &amp; shootings in aftermath of the #CharlieHebdo attack http://t.co/4u5fsWL75w",Thu Jan 08 14:56:16 +0000 2015,10618,False,7206,Thu Aug 18 10:44:32 +0000 2011,non_rumour
14,1026,"When freedom is attacked, stand up, stand together, and stand strong. Ignorance, evil, stupidity, extremism... Enough! #CharlieHebdo",Wed Jan 07 14:22:50 +0000 2015,156874,True,6626,Sat Aug 22 20:17:57 +0000 2009,non_rumour
15,131,#CharlieHebdo The four Hero's of freedom of expression who were killed by terrorists in Paris. #ParisShooting http://t.co/rbZ4ZSyehB,Wed Jan 07 15:19:16 +0000 2015,8825,False,14952,Sat Aug 24 07:04:14 +0000 2013,non_rumour
16,4692,"#CharlieHebdo Satire was the father of true political freedom, born in the 18th century; the scourge of bigots and tyrants. Sing its praises",Wed Jan 07 12:34:24 +0000 2015,33124,True,3648,Wed Aug 28 14:19:25 +0000 2013,non_rumour
